image_path,expected_flood,expected_depth_cm,scene_type,label_status,notes
dry_150525_r26543.webp,0,0.00,barren,reviewed_from_existing_data,dry/no-water guard evaluation image
dry_bike_road.jpg,0,0.00,barren,reviewed_from_existing_data,dry/no-water guard evaluation image
dry_desert-country.webp,0,0.00,barren,reviewed_from_existing_data,dry/no-water guard evaluation image
dry_draught.jpg,0,0.00,barren,reviewed_from_existing_data,dry/no-water guard evaluation image
dry_draught_1.jpg,0,0.00,barren,reviewed_from_existing_data,dry/no-water guard evaluation image
dry_Empty_Road.jpg,0,0.00,barren,reviewed_from_existing_data,dry/no-water guard evaluation image
dry_human_dry_field.jpg,0,0.00,barren,reviewed_from_existing_data,dry/no-water guard evaluation image
dry_human_dry_sand.jpg,0,0.00,barren,reviewed_from_existing_data,dry/no-water guard evaluation image
dry_landscape-view-lonely-dead-tree-260nw-1705648108.webp,0,0.00,barren,reviewed_from_existing_data,dry/no-water guard evaluation image
dry_lonely-trees-beside-dirt-road.webp,0,0.00,barren,reviewed_from_existing_data,dry/no-water guard evaluation image
dry_road_gir.jpg,0,0.00,barren,reviewed_from_existing_data,dry/no-water guard evaluation image
dry_some-desert-places.webp,0,0.00,barren,reviewed_from_existing_data,dry/no-water guard evaluation image
dry_sunset_road_land.webp,0,0.00,barren,reviewed_from_existing_data,dry/no-water guard evaluation image
shallow_0_20_2cm.jpg,1,2.00,shallow,reviewed_from_existing_data,shallow_0_20 labeled depth evaluation image
shallow_0_20_5.0cm.jpg,1,5.00,shallow,reviewed_from_existing_data,shallow_0_20 labeled depth evaluation image
shallow_0_20_image_16.jpg,1,5.00,shallow,reviewed_from_existing_data,shallow_0_20 labeled depth evaluation image
shallow_0_20_7.5cm.jpg,1,7.50,shallow,reviewed_from_existing_data,shallow_0_20 labeled depth evaluation image
shallow_0_20_10.0cm_1.jpg,1,10.00,shallow,reviewed_from_existing_data,shallow_0_20 labeled depth evaluation image
shallow_0_20_13cm.jpg,1,13.00,shallow,reviewed_from_existing_data,shallow_0_20 labeled depth evaluation image
shallow_0_20_15.0cm.jpg,1,15.00,shallow,reviewed_from_existing_data,shallow_0_20 labeled depth evaluation image
shallow_0_20_15.0cm_1.jpg,1,15.00,shallow,reviewed_from_existing_data,shallow_0_20 labeled depth evaluation image
shallow_0_20_15cm_2.jpg,1,15.00,shallow,reviewed_from_existing_data,shallow_0_20 labeled depth evaluation image
shallow_0_20_15.01cm.jpg,1,15.01,shallow,reviewed_from_existing_data,shallow_0_20 labeled depth evaluation image
shallow_0_20_15.02cm.jpg,1,15.02,shallow,reviewed_from_existing_data,shallow_0_20 labeled depth evaluation image
shallow_0_20_15.03cm_1.jpg,1,15.03,shallow,reviewed_from_existing_data,shallow_0_20 labeled depth evaluation image
shallow_0_20_15.05cm.jpg,1,15.05,shallow,reviewed_from_existing_data,shallow_0_20 labeled depth evaluation image
shallow_0_20_15.06cm.png,1,15.06,shallow,reviewed_from_existing_data,shallow_0_20 labeled depth evaluation image
shallow_0_20_15.08cm.jpg,1,15.08,shallow,reviewed_from_existing_data,shallow_0_20 labeled depth evaluation image
shallow_0_20_15.09cm_1.jpg,1,15.09,shallow,reviewed_from_existing_data,shallow_0_20 labeled depth evaluation image
shallow_0_20_15.1cm.png,1,15.10,shallow,reviewed_from_existing_data,shallow_0_20 labeled depth evaluation image
shallow_0_20_15.11cm.png,1,15.11,shallow,reviewed_from_existing_data,shallow_0_20 labeled depth evaluation image
shallow_0_20_15.12cm_1.jpg,1,15.12,shallow,reviewed_from_existing_data,shallow_0_20 labeled depth evaluation image
shallow_0_20_15.14cm.jpg,1,15.14,shallow,reviewed_from_existing_data,shallow_0_20 labeled depth evaluation image
shallow_0_20_15.15cm.png,1,15.15,shallow,reviewed_from_existing_data,shallow_0_20 labeled depth evaluation image
shallow_0_20_15.18cm.jpg,1,15.18,shallow,reviewed_from_existing_data,shallow_0_20 labeled depth evaluation image
shallow_0_20_15.2cm.jpg,1,15.20,shallow,reviewed_from_existing_data,shallow_0_20 labeled depth evaluation image
shallow_0_20_15.23cm.jpg,1,15.23,shallow,reviewed_from_existing_data,shallow_0_20 labeled depth evaluation image
shallow_0_20_18cm.png,1,18.00,shallow,reviewed_from_existing_data,shallow_0_20 labeled depth evaluation image
medium_20_50_20.00cm.jpg,1,20.00,medium,reviewed_from_existing_data,medium_20_50 labeled depth evaluation image
medium_20_50_image_80.jpg,1,20.00,medium,reviewed_from_existing_data,medium_20_50 labeled depth evaluation image
medium_20_50_20.03cm_1.jpg,1,20.03,medium,reviewed_from_existing_data,medium_20_50 labeled depth evaluation image
medium_20_50_20.07cm.jpg,1,20.07,medium,reviewed_from_existing_data,medium_20_50 labeled depth evaluation image
medium_20_50_20.1cm_1.jpg,1,20.10,medium,reviewed_from_existing_data,medium_20_50 labeled depth evaluation image
medium_20_50_20.15cm_1.jpg,1,20.15,medium,reviewed_from_existing_data,medium_20_50 labeled depth evaluation image
medium_20_50_20.20cm.jpg,1,20.20,medium,reviewed_from_existing_data,medium_20_50 labeled depth evaluation image
medium_20_50_20.27cm.jpg,1,20.27,medium,reviewed_from_existing_data,medium_20_50 labeled depth evaluation image
medium_20_50_22.50cm.png,1,22.50,medium,reviewed_from_existing_data,medium_20_50 labeled depth evaluation image
medium_20_50_22.56cm.jpg,1,22.56,medium,reviewed_from_existing_data,medium_20_50 labeled depth evaluation image
